name	SXXY_W_4S	AHHS_W_4S	HNSX_P_6S	SXYZ_P_7	AHSZ_W_4S	AHYX_P_5S	HBHM_W_6S	HBYX_W_21S	SXXY_W_6S	JSTS_W_48S	AHJZ_P_21S	HBHA_P_12S	HNSX_W_8S	JSJR_P_6S	SXYZ_P_15S	HBYX_W_14S	AHHS_W_3S	AHSZ_W_1S	HBLT_W_2S	HBYX_W_17S	AHSZ_W_2S	SXXY_W_1S	JSTS_W_49S	HNSX_P_7S	HBYX_P_5S	HBHA_P_2S	JSJH_P_8S	HNSX_P_3S	HNSX_W_10S	HNSX_P_20S	AHYX_P_18S	HBHM_W_9S	HBYX_P_4S	HBHA_P_3S	AHYX_P_7S	HBLT_W_1S	JSJH_P_2S	JSTS_W_44S	HBHA_P_9S	HNSX_W_18S	HBLT_W_5S	AHSZ_W_3S	JSJR_P_14S	AHHS_W_2S	AHJZ_P_13S	HBLT_W_4S	SXYZ_P_13S	JSJH_P_5S	HBHM_W_1S	JSJR_P_3S	SXYZ_P_7S	HBLT_W_3S	SXXY_W_3S	AHSZ_W_5S	JSTS_W_47S	HNSX_W_20S	HBHA_P_4S	SXXY_W_2S	JSJH_P_3S	AHHS_W_1S	HBYX_P_2S	HNSX_W_15S	HNSX_P_16S	AHYX_P_9S	JSJR_P_5S	AHJZ_P_17S	HBYX_P_1S	JSTS_W_45S	HBYX_P_3S	HBHM_W_14S	JSJH_P_4S
g__Fusicolla	0	17	52	0	0	4	0	0	8	0	11	6	0	72	4	0	28	0	0	0	0	0	0	20	7	2	8	6	0	30	12	0	15	6	0	0	5	0	4	0	0	0	37	3	8	0	6	7	0	127	12	0	0	0	0	0	10	4	10	23	32	0	24	14	124	21	48	0	53	0	6
g__Gliocephalotrichum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Ilyonectria	20	9	142	0	0	48	14	20	2	100	0	0	8	27	0	0	2	0	9	16	0	2	64	186	0	4	0	25	84	104	22	56	0	14	61	24	1	382	5	6	189	0	3	0	16	8	0	4	0	15	0	0	5	0	32	0	10	8	0	18	0	27	136	11	17	0	0	24	0	234	0
g__Lasionectria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0
g__Macroconia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Mariannaea	0	12	26	0	0	0	64	15	0	5	0	1	0	40	0	48	5	2	9	101	0	0	127	42	0	0	0	1	0	356	2	10	0	0	3	13	0	1	0	0	4	0	0	7	0	10	0	0	0	3	0	43	0	0	0	0	0	0	7	15	0	0	8	3	10	0	1	0	0	6	0
g__Nectria	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	21	0	0	0
g__Nectriaceae_gen_Incertae_sedis	4	0	21	0	0	0	0	27	24	4	0	0	2	0	0	0	8	0	0	32	0	3	0	9	0	0	0	4	0	6	0	4	7	0	0	4	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	28	0	0	0
g__Neocosmospora	0	0	82	0	0	3	0	0	0	0	213	133	0	400	0	0	30	0	0	23	0	0	0	80	385	30	0	8	0	48	53	0	453	40	10	81	73	0	86	0	0	0	719	12	232	0	0	28	0	494	0	0	0	0	0	0	152	0	26	0	428	0	71	3	852	106	301	338	276	0	31
g__Neonectria	0	0	21	0	0	0	0	0	0	0	0	73	0	2	0	0	0	0	0	0	0	0	0	20	0	24	0	19	0	12	22	0	0	39	5	0	0	0	17	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	23	0	0	0	0	0	33	0	2	0	0	0	0	0	0
g__Paracremonium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	3	0	0	0	0
g__Penicillifer	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	41	0	0	0	0	0	0	0	0	0	0	1	3	0	2	22	0	0	0	3	0	0	0	3	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
g__Pleiocarpon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
g__Rectifusarium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Rodentomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Sarcopodium	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Stylonectria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Thelonectria	5	0	80	0	0	1	0	0	21	0	0	0	0	0	7	10	0	0	0	0	0	34	0	5	0	0	0	5272	0	0	0	0	0	0	0	9	0	0	7	0	0	0	8	0	0	0	16	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	61	0	2	0	3	6	0	0	0
g__Varicosporellopsis	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	2	0	3	0	0	0	1	0	0
g__Volutella	42	5	25	0	0	33	3	10	16	19	0	0	0	87	0	0	6	12	0	7	0	67	76	4	5	0	0	0	0	2	30	0	9	0	78	0	0	0	0	2	0	0	0	2	0	0	3	0	0	5	17	0	0	0	100	0	0	36	0	7	0	0	4	15	1	0	12	0	9	2	0
g__Xenoacremonium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__unclassified_f__Nectriaceae	20	0	357	0	0	0	204	0	79	4	10	0	14	154	0	14	0	0	2	47	0	44	0	457	21	0	0	118	49	361	0	7	27	0	0	0	5	5	0	8	35	0	222	0	0	0	32	0	0	762	55	0	18	0	0	0	26	0	0	3	18	6	262	0	209	0	11	19	19	9	7
g__Eucasphaeria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
g__Niesslia	0	0	16	0	0	0	0	4	0	0	0	0	2	0	3	7	0	0	0	2	0	0	0	0	0	0	0	0	3	0	4	0	0	1	0	0	0	0	0	8	0	0	263	0	48	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	5	0	0	0	0	5	5	0	5	0	0
g__Drechmeria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Haptocillium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	16	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	13	0	0	0	0	0	0	0	0	0
g__Harposporium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Hirsutella	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
