sample	value	chemo	group	type	color
TTC_CK_1	84.44715	Hineson	TTC_CK	Rhizome	4
TTC_CK_2	120.61	Hineson	TTC_CK	Rhizome	4
TTC_CK_3	16.96217	Hineson	TTC_CK	Rhizome	4
TTC_CK_1	63.28841	β_Eudesmol	TTC_CK	Rhizome	4
TTC_CK_2	93.66816	β_Eudesmol	TTC_CK	Rhizome	4
TTC_CK_3	13.01367	β_Eudesmol	TTC_CK	Rhizome	4
TTC_CK_1	284.9263	Atractylon	TTC_CK	Rhizome	4
TTC_CK_2	125.2775	Atractylon	TTC_CK	Rhizome	4
TTC_CK_3	18.38821	Atractylon	TTC_CK	Rhizome	4
TTC_CK_1	345.5813	Atractylodin	TTC_CK	Rhizome	4
TTC_CK_2	481.6745	Atractylodin	TTC_CK	Rhizome	4
TTC_CK_3	30.77099	Atractylodin	TTC_CK	Rhizome	4
TTC_Rs3041_1	151.5239	Hineson	TTC_Rs3041	Rhizome	4
TTC_Rs3041_2	135.2946	Hineson	TTC_Rs3041	Rhizome	4
TTC_Rs3041_3	117.8796	Hineson	TTC_Rs3041	Rhizome	4
TTC_Rs3041_1	115.1819	β_Eudesmol	TTC_Rs3041	Rhizome	4
TTC_Rs3041_2	104.5567	β_Eudesmol	TTC_Rs3041	Rhizome	4
TTC_Rs3041_3	94.56287	β_Eudesmol	TTC_Rs3041	Rhizome	4
TTC_Rs3041_1	347.0545	Atractylon	TTC_Rs3041	Rhizome	4
TTC_Rs3041_2	239.9893	Atractylon	TTC_Rs3041	Rhizome	4
TTC_Rs3041_3	201.2518	Atractylon	TTC_Rs3041	Rhizome	4
TTC_Rs3041_1	1021.587	Atractylodin	TTC_Rs3041	Rhizome	4
TTC_Rs3041_2	868.5196	Atractylodin	TTC_Rs3041	Rhizome	4
TTC_Rs3041_3	1258.775	Atractylodin	TTC_Rs3041	Rhizome	4
TTC_Rs7061_1	5.006695	Hineson	TTC_Rs7061	Rhizome	4
TTC_Rs7061_2	4.490694	Hineson	TTC_Rs7061	Rhizome	4
TTC_Rs7061_3	4.472801	Hineson	TTC_Rs7061	Rhizome	4
TTC_Rs7061_1	7.423435	β_Eudesmol	TTC_Rs7061	Rhizome	4
TTC_Rs7061_2	6.300525	β_Eudesmol	TTC_Rs7061	Rhizome	4
TTC_Rs7061_3	6.510991	β_Eudesmol	TTC_Rs7061	Rhizome	4
TTC_Rs7061_1	208.9235	Atractylon	TTC_Rs7061	Rhizome	4
TTC_Rs7061_2	37.42197	Atractylon	TTC_Rs7061	Rhizome	4
TTC_Rs7061_3	43.80819	Atractylon	TTC_Rs7061	Rhizome	4
TTC_Rs7061_1	982.4986	Atractylodin	TTC_Rs7061	Rhizome	4
TTC_Rs7061_2	933.1618	Atractylodin	TTC_Rs7061	Rhizome	4
TTC_Rs7061_3	851.7844	Atractylodin	TTC_Rs7061	Rhizome	4
YMB_CK_1	0	Hineson	YMB_CK	Rhizome	5
YMB_CK_2	0	Hineson	YMB_CK	Rhizome	5
YMB_CK_3	0	Hineson	YMB_CK	Rhizome	5
YMB_CK_1	4.842907	β_Eudesmol	YMB_CK	Rhizome	5
YMB_CK_2	5.326651	β_Eudesmol	YMB_CK	Rhizome	5
YMB_CK_3	5.651871	β_Eudesmol	YMB_CK	Rhizome	5
YMB_CK_1	15.39325	Atractylon	YMB_CK	Rhizome	5
YMB_CK_2	48.46361	Atractylon	YMB_CK	Rhizome	5
YMB_CK_3	148.0724	Atractylon	YMB_CK	Rhizome	5
YMB_CK_1	458.6337	Atractylodin	YMB_CK	Rhizome	5
YMB_CK_2	642.8635	Atractylodin	YMB_CK	Rhizome	5
YMB_CK_3	656.5979	Atractylodin	YMB_CK	Rhizome	5
YMB_By037_1	4.90722	Hineson	YMB_By037	Rhizome	5
YMB_By037_2	5.144606	Hineson	YMB_By037	Rhizome	5
YMB_By037_3	4.594782	Hineson	YMB_By037	Rhizome	5
YMB_By037_1	7.382406	β_Eudesmol	YMB_By037	Rhizome	5
YMB_By037_2	9.140037	β_Eudesmol	YMB_By037	Rhizome	5
YMB_By037_3	7.113076	β_Eudesmol	YMB_By037	Rhizome	5
YMB_By037_1	92.504	Atractylon	YMB_By037	Rhizome	5
YMB_By037_2	184.3022	Atractylon	YMB_By037	Rhizome	5
YMB_By037_3	112.4434	Atractylon	YMB_By037	Rhizome	5
YMB_By037_1	1176.899	Atractylodin	YMB_By037	Rhizome	5
YMB_By037_2	1431.158	Atractylodin	YMB_By037	Rhizome	5
YMB_By037_3	1260.29	Atractylodin	YMB_By037	Rhizome	5
YMB_By261_1	0	Hineson	YMB_By261	Rhizome	5
YMB_By261_2	0	Hineson	YMB_By261	Rhizome	5
YMB_By261_3	0	Hineson	YMB_By261	Rhizome	5
YMB_By261_1	5.845773	β_Eudesmol	YMB_By261	Rhizome	5
YMB_By261_2	7.856842	β_Eudesmol	YMB_By261	Rhizome	5
YMB_By261_3	7.134467	β_Eudesmol	YMB_By261	Rhizome	5
YMB_By261_1	6.1871	Atractylon	YMB_By261	Rhizome	5
YMB_By261_2	170.7694	Atractylon	YMB_By261	Rhizome	5
YMB_By261_3	140.9774	Atractylon	YMB_By261	Rhizome	5
YMB_By261_1	748.7431	Atractylodin	YMB_By261	Rhizome	5
YMB_By261_2	1126.468	Atractylodin	YMB_By261	Rhizome	5
YMB_By261_3	1160.714	Atractylodin	YMB_By261	Rhizome	5
