Name	SXXY_W_4S	AHHS_W_4S	HNSX_P_6S	SXYZ_P_7	AHSZ_W_4S	AHYX_P_5S	HBHM_W_6S	HBYX_W_21S	SXXY_W_6S	JSTS_W_48S	AHJZ_P_21S	HBHA_P_12S	HNSX_W_8S	JSJR_P_6S	SXYZ_P_15S	HBYX_W_14S	AHHS_W_3S	AHSZ_W_1S	HBLT_W_2S	HBYX_W_17S	AHSZ_W_2S	SXXY_W_1S	JSTS_W_49S	HNSX_P_7S	HBYX_P_5S	HBHA_P_2S	JSJH_P_8S	HNSX_P_3S	HNSX_W_10S	HNSX_P_20S	AHYX_P_18S	HBHM_W_9S	HBYX_P_4S	HBHA_P_3S	AHYX_P_7S	HBLT_W_1S	JSJH_P_2S	JSTS_W_44S	HBHA_P_9S	HNSX_W_18S	HBLT_W_5S	AHSZ_W_3S	JSJR_P_14S	AHHS_W_2S	AHJZ_P_13S	HBLT_W_4S	SXYZ_P_13S	JSJH_P_5S	HBHM_W_1S	JSJR_P_3S	SXYZ_P_7S	HBLT_W_3S	SXXY_W_3S	AHSZ_W_5S	JSTS_W_47S	HNSX_W_20S	HBHA_P_4S	SXXY_W_2S	JSJH_P_3S	AHHS_W_1S	HBYX_P_2S	HNSX_W_15S	HNSX_P_16S	AHYX_P_9S	JSJR_P_5S	AHJZ_P_17S	HBYX_P_1S	JSTS_W_45S	HBYX_P_3S	HBHM_W_14S	JSJH_P_4S
g__unclassified_f__Sutterellaceae	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__norank_f__TRA3-20	111	0	27	25	0	53	0	101	61	11	29	0	46	101	46	132	0	0	0	188	0	132	0	13	41	8	0	37	5	9	68	0	53	14	75	5	6	10	0	19	0	0	101	0	63	13	47	0	0	45	68	0	60	0	7	0	4	50	10	0	25	54	10	49	91	23	39	16	36	0	11
g__norank_o__Burkholderiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
g__unclassified_o__Burkholderiales	43	51	13	0	0	20	10	57	22	0	3	17	0	16	0	37	239	0	0	42	0	41	0	11	19	0	9	16	0	38	24	37	10	45	56	1	0	0	0	1	56	0	5	56	0	0	0	2	0	12	15	12	32	0	32	0	0	52	22	76	25	1	8	35	74	0	14	23	8	3	0
g__norank_o__CCD24	31	0	9	18	0	26	6	19	11	10	0	0	0	12	18	16	0	0	0	33	0	48	5	4	29	0	0	9	0	5	32	4	50	0	36	7	0	25	0	13	6	0	17	0	40	0	28	0	0	0	29	0	13	0	12	0	0	0	0	0	18	15	0	25	5	7	43	17	39	0	0
g__Candidatus_Competibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Coxiella	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	6	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
g__norank_o__EPR3968-O8a-Bc78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__norank_o__EV818SWSAP88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Thiogranum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
