name	JSJH_P_2	AHHS_W_3	SXXY_W_4	HNSX_W_10	AHSZ_W_5	HNSX_P_16	SXYZ_P_7	HBYX_P_5	SXXY_W_3	AHJZ_P_17	HNSX_W_20	SXXY_W_2	HBLT_W_4	HBLT_W_1	JSTS_W_49	AHSZ_W_2	HBHA_P_9	HNSX_W_18	HBHM_W_14	HBHM_W_9	HBHA_P_3	HBHA_P_4	JSTS_W_48	HBLT_W_5	AHHS_W_1	JSJH_P_8	HNSX_W_15	AHJZ_P_21	HBYX_P_2	JSTS_W_45	SXYZ_P_15	HBYX_W_14	HBHM_W_6	AHYX_P_18	JSJR_P_6	HNSX_P_3	AHYX_P_9	HBYX_W_21	SXXY_W_6	JSTS_W_44	HBHM_W_1	AHSZ_W_3	JSJH_P_4	HBLT_W_3	AHYX_P_5	HNSX_W_8	JSJR_P_3	HNSX_P_20	HNSX_P_6	AHHS_W_2	HBYX_W_17	AHSZ_W_4	HBYX_P_4	JSJR_P_5	SXYZ_P_13	JSJR_P_14	HBLT_W_2	HNSX_P_7	JSJH_P_5	AHHS_W_4	AHSZ_W_1	AHJZ_P_13	HBHA_P_12	JSJH_P_3	JSTS_W_47	HBYX_P_1	HBHA_P_2	HBYX_P_3	SXXY_W_1	AHYX_P_7
g__Ellin6055	3	0	0	0	0	0	6	0	2	0	0	10	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	23	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
g__Erythrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Novosphingobium	49	9	7	0	0	17	25	275	3	0	0	0	17	0	0	0	0	20	0	0	0	0	8	3	1	0	5	0	7	0	8	16	0	10	0	0	0	3	2	0	0	0	0	0	0	0	0	1	25	110	6	0	16	0	0	7	0	15	0	14	0	0	0	0	3	0	0	47	16	0
g__Parablastomonas	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Plot4-2H12	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Rhizorhabdus	24	5	8	0	0	54	18	0	20	24	44	27	11	6	0	0	7	32	0	5	15	76	0	88	3	0	45	24	33	57	67	0	21	68	48	60	8	7	120	209	0	0	0	0	31	12	14	6	36	27	11	0	9	37	5	18	8	28	0	28	0	65	0	0	16	12	21	18	31	4
g__Rhizorhapis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Sphingoaurantiacus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Sphingobium	6	1	48	0	0	55	46	46	83	0	1	18	14	0	13	0	15	0	5	10	0	0	3	0	0	6	9	12	104	32	253	0	0	32	6	0	5	26	53	7	0	0	0	0	22	0	11	0	107	61	17	0	7	21	202	24	0	18	0	55	5	16	0	0	10	22	0	102	0	11
g__Sphingomonas	155	128	104	117	106	130	185	22	61	222	429	370	377	276	188	143	289	210	157	186	183	29	204	110	35	373	542	224	131	235	336	359	85	303	354	304	222	83	48	280	19	208	461	165	160	173	240	33	181	134	213	76	279	234	240	101	118	175	173	169	82	86	239	474	293	222	714	135	150	196
g__Sphingopyxis	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	18	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	14	0	4	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0
g__norank_f__Sphingomonadaceae	0	0	0	0	0	6	5	0	9	0	0	16	0	0	0	0	0	77	0	0	0	0	0	0	0	0	3	13	4	0	0	0	0	0	8	0	11	0	7	11	0	0	0	0	28	0	0	0	11	0	6	0	0	0	0	6	2	2	0	0	0	0	0	0	0	0	0	4	74	0
g__unclassified_f__Sphingomonadaceae	31	24	6	13	3	0	14	0	41	7	4	26	46	0	0	0	12	41	0	11	19	0	0	4	8	0	21	0	51	0	12	5	13	7	4	9	6	4	12	23	0	0	0	106	0	13	6	5	58	36	34	0	16	11	9	7	0	24	0	0	0	0	13	0	22	18	5	28	84	0
g__norank_o__Thalassobaculales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Arboricoccus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Candidatus_Alysiosphaera	0	0	0	0	0	0	40	0	16	0	0	0	10	7	0	0	0	0	3	2	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	17	1	0	0	0	0	0	0	0	0	1	2	0	6	20	0
g__Geminicoccus	0	0	0	0	0	0	25	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__norank_f__Geminicoccaceae	0	0	0	0	0	0	7	1	1	3	0	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	5	0	0	0	0	8	65	0
g__unclassified_f__Geminicoccaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__norank_o__Zavarziniales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__norank_c__Alphaproteobacteria	0	2	26	3	54	1	16	3	7	0	4	17	31	7	0	15	5	13	20	7	0	0	0	13	0	0	26	0	24	0	0	0	7	6	8	0	0	2	12	7	25	21	0	0	0	24	2	0	0	4	25	0	0	0	15	1	5	3	0	7	13	10	0	18	2	6	1	0	28	6
g__unclassified_c__Alphaproteobacteria	0	41	23	0	45	3	0	2	43	7	133	0	14	7	121	0	2	63	218	75	0	0	122	102	0	1	105	0	36	3	23	20	6	133	23	0	0	19	9	140	190	35	0	21	6	183	30	3	25	8	26	74	0	26	0	0	12	5	0	8	75	13	6	0	33	0	24	0	21	0
g__Sulfurifustis	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
g__norank_f__Beggiatoaceae	17	0	3	0	9	10	0	0	0	0	0	0	0	0	0	0	7	0	4	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	31	0	0	0	30	0	5	0	0	0	0	14	0	2	0	0	17	6	11	1	0	0	3	8	0	0	0	0
g__Pelagibaculum	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__norank_f__Leucotrichaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__norank_f__A21b	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	5	0	0	0	0	0	0	0	0	18	37	0	0	0	0	0	0	0	7	0	0	0	38	0	0	6	10	4	0	0	0	8	0	0	0	0	20	0	0	0	0	0	0	5	27	13	0
g__Achromobacter	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Alcaligenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Bordetella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Derxia	0	0	0	0	0	0	0	0	5	27	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Parvibium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__unclassified_f__Alcaligenaceae	354	4	26	3	0	1	74	198	6	0	9	0	0	0	0	0	0	31	61	0	0	0	0	0	6	0	13	0	76	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	13	0	2	0	631	33	3	0	0	35	22	27	0	0	0	0	68	0	0	0	0	0	0	15	0	0
g__norank_f__B1-7BS	0	0	0	0	53	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	3	0	0	0	9	4	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Burkholderia-Caballeronia-Paraburkholderia	1437	836	105	3792	1476	385	245	34	85	774	1389	320	196	512	215	411	552	170	466	743	487	793	356	362	509	333	167	393	46	390	155	223	472	248	1536	918	253	40	155	228	852	590	1310	10673	357	2300	1340	234	1891	3148	129	631	314	1724	171	190	3786	4974	1171	381	868	117	185	1045	649	338	372	156	123	358
g__Candidatus_Glomeribacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Cupriavidus	0	5	0	0	0	5	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	18	34	0	0	0	0	0	0	0	0	0	4	0	10	0	0	0	46	0	0	0	15	9	0	0	0	0	0	12	0	0	14	0	0	7	0	0
g__Lautropia	0	0	19	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0
g__Limnobacter	0	0	0	6	0	0	0	0	0	0	20	0	0	0	0	0	0	0	7	26	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0
g__Mycoavidus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
g__Pandoraea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	695	0	0	0	0	0	0	0	7	0	0	42	0	0	0	0	0	0	0	0	0
