function	description	AHHS_W_1S	AHHS_W_2S	AHHS_W_3S	AHHS_W_4S	AHJZ_P_13S	AHJZ_P_17S	AHJZ_P_21S	AHSZ_W_1S	AHSZ_W_2S	AHSZ_W_3S	AHSZ_W_4S	AHSZ_W_5S	AHYX_P_18S	AHYX_P_5S	AHYX_P_7S	AHYX_P_9S	HBHA_P_12S	HBHA_P_2S	HBHA_P_3S	HBHA_P_4S	HBHA_P_9S	HBHM_W_14S	HBHM_W_1S	HBHM_W_6S	HBHM_W_9S	HBLT_W_1S	HBLT_W_2S	HBLT_W_3S	HBLT_W_4S	HBLT_W_5S	HBYX_P_1S	HBYX_P_2S	HBYX_P_3S	HBYX_P_4S	HBYX_P_5S	HBYX_W_14S	HBYX_W_17S	HBYX_W_21S	HNSX_P_16S	HNSX_P_20S	HNSX_P_3S	HNSX_P_6S	HNSX_P_7S	HNSX_W_10S	HNSX_W_15S	HNSX_W_18S	HNSX_W_20S	HNSX_W_8S	JSJH_P_2S	JSJH_P_3S	JSJH_P_4S	JSJH_P_5S	JSJH_P_8S	JSJR_P_14S	JSJR_P_3S	JSJR_P_5S	JSJR_P_6S	JSTS_W_44S	JSTS_W_45S	JSTS_W_47S	JSTS_W_48S	JSTS_W_49S	SXXY_W_1S	SXXY_W_2S	SXXY_W_3S	SXXY_W_4S	SXXY_W_6S	SXYZ_P_13S	SXYZ_P_15S	SXYZ_P_7S
1.14.13.235	Indole-3-acetate monooxygenase	3360.84	4460.01	3360.48	3732.58	1675.3199999999997	1736.66	2020.35	3030.4	3075.57	2640.49	2187.76	1775.09	1427.82	1516.77	1554.84	1707.83	1438.59	868.75	1031.84	1459.26	1005.26	2323.58	848.75	1944.84	2631.24	3541.34	2736.6800000000003	3097.42	2884.76	3020.01	108.75	122.87	154.5	194.12	173.25	1707.62	1425.75	1676.0	1857.66	10480.42	3303.59	2739.34	9928.16	2296.48	2980.89	4117.66	4703.48	3652.59	3266.34	2168.6800000000003	1806.26	1923.58	687.5	887.0	1724.34	1665.82	1577.58	4350.0	2641.66	2545.6400000000003	3753.58	2377.75	435.41	1249.0	938.91	968.66	552.0	83.25	118.25	263.0
1.14.13.236	Toluene 4-monooxygenase	544.0	2002.0	895.0	713.0	265.5	388.0	324.5	383.0	387.0	976.0	365.0	146.0	249.0	68.0	410.0	459.0	147.0	28.0	169.0	393.0	42.0	304.0	0.0	655.0	317.0	745.0	506.0	422.0	434.0	283.0	192.0	112.0	276.0	208.0	232.0	427.0	217.0	416.0	674.0	954.0	989.0	718.0	1103.0	403.0	689.0	241.0	917.0	1143.0	468.0	499.0	283.0	584.0	215.0	176.0	1130.0	639.0	1000.0	288.0	596.0	913.0	978.0	565.0	0.0	64.0	0.0	44.0	51.5	76.0	11.0	0.0
1.14.13.238	Dimethylamine monooxygenase	867.0	618.3399999999999	291.32	877.22	599.3299999999999	425.89	633.59	354.0	669.66	394.66	253.63	416.84	2481.6000000000004	873.67	820.8199999999999	770.7	171.34	464.5	157.67000000000002	271.23	145.79000000000002	334.99999999999994	361.34	353.18	530.0899999999999	258.68	327.5	345.0	569.6600000000001	663.0	8124.01	13176.99	7615.01	9026.0	4207.0	1684.0	465.01	1435.49	993.32	1584.2800000000002	961.37	1256.85	1685.42	879.8199999999999	972.42	1166.75	779.99	1062.67	1286.9399999999998	789.45	464.23	402.06	151.83999999999995	253.01	512.9100000000001	449.28	315.26	1232.84	1294.0000000000002	897.1400000000001	1060.66	972.5	4362.2	4843.49	4112.32	3794.34	8716.01	12390.49	8431.01	5532.0
1.14.13.239	Carnitine monooxygenase	54.0	66.0	175.0	135.0	39.0	40.0	18.0	85.0	66.0	29.0	42.0	79.0	0.0	62.0	30.0	19.0	1.0	9.0	84.5	46.0	109.0	0.0	7.0	43.0	91.0	214.0	77.0	0.0	267.0	64.0	0.0	140.0	161.0	210.0	0.0	0.0	0.0	10.0	0.0	116.0	0.0	0.0	150.0	389.0	80.0	146.0	854.0	261.0	56.0	91.0	103.0	23.0	24.0	0.0	0.0	0.0	0.0	49.0	12.0	64.0	43.0	9.0	0.0	0.0	0.0	0.0	0.0	70.0	0.0	0.0
1.14.13.24	3-hydroxybenzoate 6-monooxygenase	1517.84	2171.5	1783.16	2059.25	1119.33	903.0	1051.17	1183.0	1321.91	1169.0	818.25	868.75	1314.66	1138.75	1137.83	1284.5	971.08	806.75	729.8299999999999	558.08	764.58	2876.91	2446.41	1468.16	1660.43	1810.16	1932.18	1798.42	1844.1	1845.01	3635.75	5354.75	3028.35	3649.4	2028.25	1034.0	1393.75	1074.5	969.34	5369.25	1702.59	1289.84	5273.5	1753.16	1595.07	2153.84	3650.32	2034.91	1788.34	1290.34	1071.5	1470.25	1151.0	1053.5	1132.5	945.0	1088.75	1322.66	1586.16	1225.5	1900.34	1679.75	1993.75	2177.0	1905.25	2014.0	3423.7	4416.65	3324.96	2238.58
1.14.13.25	Methane monooxygenase (soluble)	35.0	26.0	10.0	0.0	45.5	24.5	22.0	0.0	19.0	0.0	0.0	9.5	20.0	23.0	12.5	53.0	0.0	19.5	28.0	0.0	0.0	13.0	11.0	17.5	0.0	31.0	22.5	47.0	26.0	26.5	0.0	0.0	3.0	0.0	0.0	70.0	35.0	51.5	0.0	15.0	25.5	18.5	33.0	85.5	61.0	22.0	10.0	40.5	15.0	0.0	26.5	17.5	0.0	28.0	27.0	23.5	20.0	76.5	147.0	49.5	81.5	55.5	33.0	156.5	37.0	38.0	28.5	43.5	29.0	13.5
1.14.13.29	4-nitrophenol 2-monooxygenase	14.0	0.0	3.5	3.0	12.5	23.17	5.17	0.0	0.0	0.0	0.0	0.0	49.0	17.5	22.5	18.83	0.0	3.0	9.17	0.0	13.83	12.0	0.0	0.0	4.0	4.33	0.0	0.0	41.0	46.5	31.33	8.0	30.17	3.5	36.17	0.0	0.0	0.0	101.83	29.0	23.5	50.67	60.33	4.5	5.83	10.83	0.0	7.17	11.5	10.0	22.0	10.33	0.0	24.0	7.83	20.83	4.33	13.0	4.33	50.0	4.0	0.0	0.0	0.0	5.5	0.0	2.83	0.0	4.5	3.0
1.14.13.40	Anthraniloyl-CoA monooxygenase	4553.34	5441.17	4463.15	4791.58	2542.49	3198.5	3247.8500000000004	4430.5	3967.57	4832.83	4005.92	4384.92	2415.32	2693.59	2115.73	2533.33	3032.25	2469.45	2238.17	3225.75	2404.75	4564.24	5338.91	3445.33	4556.08	4571.33	4182.02	4196.59	4022.33	4306.68	755.5799999999999	713.25	708.6700000000001	775.0	1159.92	2051.0	2393.25	1846.0	2457.5	11330.42	4473.1	3651.84	11087.33	3634.15	3801.22	4567.5	6513.81	6167.75	5469.67	4187.01	3301.17	3891.41	2876.5	2033.17	2807.8	2911.99	2883.53	2739.66	3356.15	3769.82	3966.01	3288.25	1060.25	2072.0	1938.25	1843.5	1294.33	527.09	554.59	746.6700000000001
1.14.13.50	Pentachlorophenol monooxygenase	449.5	272.5	278.5	370.25	318.67	317.17	445.17	513.0	567.25	420.0	357.25	423.75	812.5	440.08	313.83	384.67	250.25	222.75	273.0	196.75	316.25	450.25	207.75	278.5	532.75	738.5	420.5	595.75	453.5	717.0	47.42	25.08	42.17	42.0	72.25	276.0	366.42	524.6600000000001	327.5	503.92	368.42	449.33	501.5	524.5	616.5799999999999	1004.33	1091.5	964.58	524.0	508.33	436.0	334.58	167.0	156.67000000000002	298.0	417.0	252.42	273.0	563.5	363.5	495.0	318.75	114.08	278.33	262.91	219.5	209.17	11.58	15.92	46.0
1.14.13.59	L-lysine N(6)-monooxygenase (NADPH)	850.33	1477.75	788.8199999999999	900.82	1204.66	998.51	1076.36	634.9999999999999	407.49	710.41	450.34	399.67	1759.4899999999998	1443.84	1227.95	924.33	762.3299999999999	1007.4	704.17	679.51	706.99	748.33	626.83	449.5	802.3299999999999	658.67	505.18	673.5	589.49	617.34	3774.0	5572.25	3343.6800000000003	3980.75	2060.34	746.66	613.09	578.6700000000001	1348.16	1642.17	1413.34	1040.35	1304.5	646.8199999999999	1455.2999999999995	1223.8199999999997	693.65	1136.5	1479.34	1003.34	859.8399999999999	883.8199999999999	434.0	446.51	1133.4299999999998	1063.32	742.73	535.83	795.9	908.15	918.68	624.1700000000001	1729.96	2173.66	1946.66	1891.68	3480.5	4944.17	3270.1000000000004	2239.67
